País,Ref,P10,P25,Intervalo,P75,P90
Uruguay,40.36,4.04,7.29,0.97,9.20,0.00
República Dominicana,35.54,6.70,6.35,0.85,9.22,2.38
Perú,36.46,5.79,7.19,0.89,11.53,0.00
Paraguay,34.97,5.45,6.75,1.04,7.40,6.25
Panamá,34.63,6.40,6.72,1.06,6.82,6.24
Nicaragua,35.72,6.54,6.08,1.01,7.91,4.61
México,35.02,7.23,7.37,1.01,11.23,0.00
Honduras,34.81,6.94,6.37,1.32,11.56,0.87
Guatemala,34.04,6.84,6.77,1.06,8.54,4.61
El Salvador,36.45,5.80,7.42,0.81,11.38,0.00
Ecuador,36.11,6.15,7.12,0.95,11.54,0.00
Cuba,42.24,6.50,4.95,0.84,5.40,0.00
Costa Rica,41.42,4.52,6.88,0.88,8.15,0.00
Colombia,38.21,4.04,6.86,1.04,7.10,4.61
Brasil,37.67,4.58,6.71,0.82,7.47,4.61
Argentina,36.86,5.42,7.68,1.03,10.88,0.00
Promedio Regional,36.48,5.77,7.24,0.97,10.57,0.82
